exp_log2_cond1	exp_log2_cond2	exp_log2_cond3	exp_log2_cond4	exp_log2_cond5	exp_log2_cond6	cv2_log2_cond1	cv2_log2_cond2	cv2_log2_cond3	cv2_log2_cond4	cv2_log2_cond5	cv2_log2_cond6	LibID
-0.074533		0.088365	1.290824	0.935438	1.152272							1.000000
-0.518512	-0.416582	-0.726891	-0.935554	-0.990108	-0.758850	-3.786499	-3.654513	-4.051235	-3.422456	-4.776711	-3.557854	2.000000
-4.931101	-4.519365	-4.268312	-4.124002	-4.096874	-3.926014	-2.645299	-3.307618	-2.855579	-3.202424	-2.730256	-2.493476	3.000000
1.672259	1.849649	1.482989	1.529737	1.610543	1.799957	-5.739720	-4.146787	-5.965581	-7.133226	-5.771533	-4.610864	4.000000
0.029607	-0.086210	-0.099601	-0.173629	-0.328912	-0.192679	-5.405500		-5.524383	-6.347940			5.000000
0.779907	0.950136	1.151628	1.506519	1.787694	1.966364	-5.790790	-5.750285	-6.569795	-6.664125	-5.307618	-5.782215	6.000000
-0.239861		0.052446		0.724163	0.732249							7.000000
-1.037113	-0.870527	-0.891751		-0.386791	-0.147699	-3.271528	-3.305803	-4.443246			-4.228070	8.000000
0.182824	0.315651	0.137754	0.326755	0.250217	0.445747	-5.355221	-4.755639	-5.167618	-4.822391	-6.218095	-4.649633	9.000000
0.791219	0.779224	0.619845	0.530005	0.482014	0.543480	-5.522426	-5.623958	-4.911227	-8.122600	-6.127421	-5.831871	10.000000
-0.152152		-0.084933										11.000000
0.675921	0.710695	1.241966	1.441478	1.651967	2.095630							12.000000
-0.435560	-0.181968	-0.089490		0.531564	0.894442							13.000000
-0.396377	-0.504179	-0.248466	0.503522	0.676972		-4.436525				-5.695763		14.000000
-1.199867	-0.609665	-0.695619		-0.369182	-0.390119							15.000000
-0.429167	-0.271068	-0.233830	0.363883	0.310162		-4.646743	-4.603741			-4.876615		16.000000
-0.340829	-0.224666	-0.049405	0.484917	0.842088	0.956850	-4.811667	-5.049000	-4.727284				17.000000
-0.686727	-0.324182	-0.468665	0.138751	0.353644	0.526749							18.000000
	0.310223	0.607043		1.224410	1.517170							19.000000
-0.016923		0.302938	0.834103	1.067272	1.208115	-5.763015		-5.371883	-6.376729	-7.029146	-4.968777	20.000000
-0.372981	-0.177369	-0.047480	0.470417	0.873848	0.889949				-8.291211			21.000000
0.306139		0.541992		1.133157	1.170033	-6.273392						22.000000
-0.043445	0.033016	0.228696		1.084372	1.378064			-5.986183				23.000000
-0.816133	-0.695660	-0.553903	-0.134905	0.096765								24.000000
-0.318014	-0.413823		0.421409		1.164060				-7.298553			25.000000
												26.000000
-0.230754	-0.199107			0.841001	0.988956	-5.547970						27.000000
0.301150	0.505191	0.791876		1.308160	1.641777	-6.324598						28.000000
0.032080		-0.050578	0.456146		0.281036							29.000000
0.536192	0.704643	0.998171	1.400113	1.494766	1.731835							30.000000
		-0.655928	0.210084									31.000000
-0.032665		-0.123472	-0.016238	-0.445400	-0.333990	-4.205674		-3.748169	-5.060645	-3.093334	-3.495169	32.000000
0.492473	0.549842		0.639239	0.386197	0.202970	-4.102200	-4.533465		-5.458583	-3.479708		33.000000
-0.084627	-0.179537	-0.264321	-0.083745	-0.216802	-0.236573							34.000000
-0.550067	-0.454509	-0.577261	-0.550572	-0.509766	-0.428018	-4.903324	-4.572608	-4.578244		-4.300162	-4.619434	35.000000
-1.610137	-1.493460	-1.547974	-1.520927	-1.409314	-1.435323	-4.551573	-4.055938	-3.864723	-4.329769	-3.088280	-3.545011	36.000000
0.179900	0.245058	0.129787	0.164585	-0.196362	-0.200957	-4.368849			-5.074011	-5.155534	-4.392554	37.000000
-1.714570	-1.423965	-1.632025	-1.563719	-1.617467	-1.624617	-2.559268	-2.408466	-3.662716	-3.629028	-1.910233	-3.219985	38.000000
-0.421217	-0.404259	-0.601740	-0.286887	-0.661055	-0.611554	-5.329491	-4.279743	-4.823926		-4.923917	-4.118990	39.000000
-0.214083	-0.309484	-0.353541	-0.276234	-0.741393	-0.598998	-4.492106	-4.530689	-4.034834	-3.882397	-4.146787	-3.967863	40.000000
-0.124951	-0.005000	0.007339	0.243418	-0.180919	-0.185427	-5.706168	-4.904903	-4.444592	-5.291321	-4.477089	-4.839323	41.000000
0.081190		-0.180941		-0.422786	-0.303856	-5.420567		-4.355763		-4.554369	-5.487428	42.000000
-0.473861	-0.335837	-0.535720		-0.810850	-0.780100	-4.298881		-4.345337		-4.050060	-4.388590	43.000000
-0.178356	-0.208373	-0.233259	-0.141145	-0.429926	-0.293177	-5.597736	-5.090806	-6.527916	-5.871338	-5.979300	-4.110583	44.000000
0.196116		0.035330	0.105835	-0.149538	-0.165427	-5.122988		-4.951070	-5.195429	-4.362299	-4.334949	45.000000
0.021541		-0.099167	-0.020502	-0.317941	-0.244801	-3.724993		-3.629028	-4.928690	-4.344037	-4.667032	46.000000
-0.149785	-0.253149	-0.455842	-0.157631	-0.484269	-0.446878	-3.770466	-4.371473	-4.341437	-4.847052		-3.099240	47.000000
0.028137	-0.022250	-0.147297	-0.036980	-0.444074	-0.363661	-4.615146	-3.846061	-4.766156	-5.575733	-4.628030	-4.842412	48.000000
-0.206775	-0.217699	-0.323859	-0.152942	-0.539193	-0.468009	-5.049000	-4.471647	-4.787305	-4.615146	-4.391232	-3.730244	49.000000
-0.098000	-0.018908	-0.210698	-0.139630	-0.485508	-0.317290	-4.602318	-5.188451	-4.003465	-4.331063	-4.233071	-4.143146	50.000000
-0.268294	-0.233828	-0.393276	-0.152656	-0.423142	-0.233942	-5.136647	-5.430024	-4.878179	-6.198247	-5.320357	-4.713950	51.000000
-0.023729	-0.062812	-0.121886	0.041004	-0.457632	-0.468128	-4.038341	-3.810177	-3.813421	-3.893499	-3.500017	-3.361689	52.000000
0.748579	0.700782	0.594072	0.645460	0.296453	0.311560	-4.935067	-5.303989	-5.520471	-4.978481	-4.234323	-5.532224	53.000000
-0.292747	-0.269219	-0.397641	-0.053560	-0.493466	-0.222461	-5.648376	-5.922566	-5.583715	-5.545997	-5.291321	-5.019271	54.000000
0.312892	0.497342	0.311246	0.497753	0.203219	0.289853	-5.300364	-5.331321	-5.260788	-5.512662	-4.127421	-4.458088	55.000000
-2.015725	-2.111484	-2.123384	-2.435017	-2.395502	-2.296446	-3.309434	-3.107699	-2.650356	-2.756389	-2.877397	-2.458088	56.000000
-0.325315	-0.305880	-0.448092		-0.627968	-0.473012		-4.163838	-3.739720		-4.782760	-4.358376	57.000000
1.493819	1.536036	1.330974	1.526759	1.664677	1.595103	-5.333153	-5.504874	-5.900181		-5.491296	-4.782760	58.000000
1.887436	1.721702	1.458637	1.793957	1.810446	1.767094	-2.211257	-4.203196	-4.725800	-4.898593	-4.878179	-3.079878	59.000000
1.870933	1.722771	1.499457	1.557938	1.769444	1.776284	-3.500988	-4.736208	-5.563802	-6.722833	-5.255433	-4.996357	60.000000
2.090192	2.093802	1.834255	1.815842	1.896956	2.110120	-4.930283	-4.423130	-4.833154	-6.350546	-5.029146	-4.625162	61.000000
1.437249	1.591806	1.330974	1.486666	1.525424	1.534783	-4.649633	-5.230574	-5.924814	-5.877968	-5.954199	-4.967163	62.000000
1.641440	1.737506	1.492542	1.551504	1.564425	1.774375	-4.746654	-5.559835	-5.481636	-7.316712	-6.640972	-5.107699	63.000000
1.529753	1.668267	1.323199	1.503189	1.563616	1.661777	-3.804778	-4.143146	-4.626596	-6.690396			64.000000
1.608964	1.746097	1.376137	1.664612	1.549344	1.648621	-4.857909		-5.724993	-4.799460	-5.524383	-4.931877	65.000000
2.143393	2.000985	1.758297	2.021751	1.958841	2.059580	-3.148652	-4.935067	-4.930283	-4.748150	-5.827519	-5.246530	66.000000
1.607721	1.806796	1.429966	1.556712	1.639144	1.763174	-3.664770	-4.383312	-4.764651	-5.758765	-5.963301	-5.257217	67.000000
1.404252	1.356681	1.181446	1.286569	1.300234	1.210383	-2.895443	-4.500331	-4.968777	-5.195429	-3.489361	-3.956472	68.000000
1.322299	1.426417	1.166848	1.271771	1.282686	1.322360	-4.788822	-5.691611	-6.555768	-4.856355	-5.704084	-3.720799	69.000000
1.712249	1.786638	1.449094	1.506882	1.777190	1.719723	-2.607300	-4.397848	-4.886013	-7.497107	-5.640214	-4.915979	70.000000
1.876620	2.092096	1.678823	1.750620	1.843495	1.892962	-3.469126	-4.355763	-4.295043	-6.018526	-6.000000	-4.748150	71.000000
1.851703	1.835892	1.486373	1.514631	1.585796	1.681450	-2.926303	-3.897952	-5.379320	-5.940600	-5.262575	-5.148652	72.000000
1.534557	1.735897	1.390501	1.508604	1.724672	1.815770	-4.693330	-4.189606	-5.780075	-5.750285	-5.017628	-4.716908	73.000000
1.505878	1.624753	1.444165	1.635760	1.674699	1.667120	-4.319436	-4.879744	-5.780075	-5.493232	-4.739189	-4.628030	74.000000
2.053405	2.080983	1.789981	1.732350	1.981378	1.998540	-4.784274	-5.530262	-5.613844	-5.979300	-5.821004	-5.077362	75.000000
-0.326008	-0.215918	-0.291602	-0.570593	-0.444918	-0.555390	-5.068991	-6.006933	-5.741830	-7.089122	-4.550176	-5.357067	76.000000
-0.110048	0.049103	-0.070583	-0.262255	-0.240043	-0.295074	-4.233071	-6.791857	-4.823926	-4.675771	-5.039056	-4.463504	77.000000
-0.030486	0.036009	-0.130720	-0.301214	-0.264835	-0.253281	-4.628030	-4.897017	-5.207681	-4.433841	-5.325834	-5.403622	78.000000
0.832857	0.762293	0.716450	0.577877	0.738460	0.734008	-5.143501	-4.168729	-5.516564	-5.573741	-4.684537	-6.708043	79.000000
0.681248	0.695351	0.578384	0.504794	0.486383	0.408923	-4.912810	-4.128628	-4.525146	-5.100930	-3.912471	-3.068156	80.000000
-0.605444	-0.408830	-0.550106	-0.606380	-0.763023	-0.648002	-4.975243	-4.721350	-5.072337	-5.468166	-4.201958	-3.941730	81.000000
-0.667916	-0.412191		-0.590250	-0.789109	-0.756379	-4.344037			-5.512662	-3.036575	-3.396122	82.000000
		0.630498	0.801494	0.242602								83.000000
0.458461	0.451850	0.193599		0.119281	0.349436							84.000000
-0.265540	-0.283511	-0.321632	-0.550823	-0.666808	-0.647733	-5.300364	-5.538118	-4.986593	-5.799390	-4.226822	-4.279743	85.000000
-0.236509	-0.188415	-0.602969		-0.843692	-0.590429	-4.354458		-3.143501			-3.700961	86.000000
-0.361372	-0.333904	-0.493632		-0.810695	-0.776267	-5.344165						87.000000
		-0.594022		-1.071339	-0.603955							88.000000
0.016710	0.109370	0.052368	0.060744	-0.067343	0.038683	-6.875051	-7.995387	-6.915979	-5.644292		-4.605164	89.000000
-0.541424	-0.647814	-0.918427	-1.126814	-1.388761	-1.430449	-4.045367	-5.198924					90.000000
0.127022	-0.077371	-0.295768	-0.163874	-0.553290	-0.263255	-4.773691						91.000000
-0.483210			-0.758398	-1.000879	-0.743224					-4.464860		92.000000
0.076032		-0.004547	-0.031964	-0.115175	-0.006201	-6.108185					-4.793376	93.000000
-1.574195	-1.658539	-1.872805	-2.102811	-2.260373	-2.336268	-3.360764	-3.070663		-4.037171	-1.766206	-2.656145	94.000000
-1.951415	-2.054035	-2.107252	-1.999564	-2.321035	-2.348476	-3.155534	-3.071500	-2.383971	-2.726542	-2.345988	-2.132855	95.000000
-0.383550	-0.573297	-0.649566		-1.074133	-0.825999							96.000000
	-0.202454	-0.393914	-0.146937	-0.535081	-0.454280				-4.233071			97.000000
-0.308304	-0.342137	-0.584403	-0.759415	-0.945761	-0.559692	-5.693686	-4.871927	-4.048886				98.000000
0.255123		0.028840		-0.084989	-0.230307							99.000000
-0.059810	0.137506	-0.217740	-0.051510	-0.859192	-0.390795				-5.487428			100.000000
-0.535347	-0.376838	-0.607154	-0.998706	-0.967071	-0.587326	-4.669942						101.000000
-0.171493	-0.248317	-0.359240	-0.257009	-0.703402	-0.599519	-4.708043						102.000000
-0.364418	-0.196207	-0.501975	-0.483086	-0.721981	-0.557413	-5.526341	-5.597736	-5.190194			-3.488394	103.000000
-0.758903	-0.693676	-0.977601	-1.140766	-1.441426	-1.132352	-5.571750						104.000000
0.731420	0.976193	0.887682		0.606768								105.000000
0.531065	0.598729	0.634830	0.540263	0.409588		-6.215607						106.000000
-0.179786	-0.128554	-0.209481	-0.151701	-0.522559	-0.375658	-5.827519	-4.340139	-4.847052	-5.178015		-4.261994	107.000000
-0.168119	-0.070033	-0.438298	-0.274882	-0.475622	-0.405296	-5.628013		-4.441901				108.000000
1.438677	1.428298	1.297351	1.143815	1.196008	1.143659							109.000000
